product_id,sku,product_name,brand,category,subcategory,supplier,cost_price,selling_price,discount_percent,profit_margin,weight,length,width,height,warehouse_id,stock_quantity,reorder_level,launch_date,product_status,supplier_rating,return_rate,created_at,updated_at,color,material,warranty_months,is_active,min_order_qty,max_order_qty
PROD-00011,BEA-HAI-EST-307,Estee Lauder Premium Haircare,Estee Lauder,Beauty,Haircare,Summit Suppliers,23.52,68.66,0,0.66,0.78,9.90,8.00,23.50,WH-09,779,55,2025-08-11,Active,4.72,0.03,2025-07-31,2025-09-22,Black,Organic Compounds,0,True,1,10
PROD-00012,APP-SHI-H&M-823,H&M Essential Shirt,H&M,Apparel,Shirts,Apex Distributors,13.16,29.79,,0.56,0.23,28.30,26.70,2.20,WH-03,1272,87,2024-01-04,Active,4.40,0.19,2023-12-27,2024-04-18,Grey,Wool,3,True,1,100
PROD-00013,ELE-TV-APP-378,Apple Premium TV,Apple,Electronics,TV,Apex Distributors,983.19,1193.46,20,0.18,21.89,100.30,84.30,7.80,WH-07,1239,68,2024-12-08,Active,3.52,0.04,2024-11-23,2025-02-02,Beige,Metal,24,True,1,100
PROD-00014,BEA-FRA-LOR-187,LOreal Ultra Fragrance,LOreal,Beauty,Fragrance,Summit Suppliers,29.44,64.70,0,0.55,0.33,11.20,11.40,16.00,WH-05,970,29,2025-03-29,Active,4.46,0.03,2025-03-13,2025-08-13,Silver,Organic Compounds,0,True,1,5
PROD-00015,GRO-PAN-PEP-325,PepsiCo Signature Pantry,PepsiCo,Groceries,Pantry,Elite Wholesale,8.61,10.17,0,0.15,0.63,13.90,8.20,23.30,WH-03,753,83,2025-12-02,Active,4.89,0.01,2025-11-27,2026-01-17,Pink,Tin Can,0,True,1,5
PROD-00016,APP-JAC-GAP-382,Gap Essential Jacket,Gap,Apparel,Jackets,Global Trade Corp,54.94,108.18,5,0.49,1.11,36.50,35.00,3.10,WH-03,262,57,2024-12-01,Active,4.54,0.18,2024-11-17,2024-12-27,White,Cotton,0,True,1,10
PROD-00017,ELE-LAP-DEL-521,Dell Eco Laptop,Dell,Electronics,Laptops,Global Trade Corp,918.35,1313.13,10,0.30,1.27,33.10,24.50,2.00,WH-05,1188,97,2024-12-19,Active,3.57,0.04,2024-11-30,2024-12-26,Red,Metal,12,True,1,20
PROD-00018,ELE-TV-DEL-808,Dell Deluxe TV,Dell,Electronics,TV,Apex Distributors,781.48,1126.12,15,0.31,25.95,144.30,62.70,11.30,WH-03,916,63,2025-01-11,Active,4.86,0.06,2025-01-05,2025-02-07,White,Plastic,36,True,1,10
PROD-00019,APP-SHO-PUM-762,Puma Pro Shoe,Puma,Apparel,Shoes,Global Trade Corp,92.35,223.92,15,0.59,0.62,31.30,21.80,10.80,WH-01,822,83,2025-11-01,Discontinued,2.31,0.20,2025-10-12,2025-12-06,Beige,Polyester,0,False,1,5
PROD-00020,HOM-FUR-KEU-899,Keurig Ultra Furniture,Keurig,Home & Kitchen,Furniture,Apex Distributors,327.54,615.97,10,0.47,21.43,105.60,56.80,56.30,WH-05,148,94,2024-12-30,Active,4.19,0.06,2024-12-24,2025-02-15,Red,Ceramic,12,True,1,5
PROD-00021,APP-PAN-GAP-719,Gap Premium Pant,Gap,Apparel,Pants,Elite Wholesale,42.00,80.52,5,0.48,0.43,32.50,26.40,2.80,WH-02,1116,33,2024-08-01,Active,3.87,0.20,2024-07-15,2024-09-06,Black,Leather,0,True,1,20
PROD-00022,GRO-SNA-GEN-962,General Mills Classic Snack,General Mills,Groceries,Snacks,Summit Suppliers,0.99,1.21,0,0.18,0.33,20.00,13.30,23.20,WH-01,604,47,2024-09-17,Active,4.88,0.01,2024-09-08,2025-01-10,White,Plastic Bottle,0,True,1,10
PROD-00023,ELE-LAP-SON-555,Sony Ultra Laptop,Sony,Electronics,Laptops,Elite Wholesale,940.29,1341.95,0,0.30,1.66,31.70,25.60,2.20,WH-10,814,59,2024-12-19,Active,4.15,0.03,2024-12-10,2025-03-10,,,12,True,1,20
PROD-00024,ELE-HEA-APP-690,Apple Essential Headphone,Apple,Electronics,Headphones,Apex Distributors,33.40,46.68,0,0.28,0.33,19.30,16.60,7.00,WH-10,1140,58,2025-04-28,Active,4.97,0.04,2025-04-14,2025-07-02,Red,Metal,,True,1,20
PROD-00025,APP-JAC-UND-438,Under Armour Pro Jacket,Under Armour,Apparel,Jackets,Prime Logistics,96.61,176.90,10,0.45,0.83,39.20,37.60,4.00,WH-05,1213,37,2024-04-28,Active,4.50,0.14,2024-04-10,2024-05-04,Pink,Wool,3,True,1,20
PROD-00026,GRO-PAN-GEN-916,General Mills Classic Pantry,General Mills,Groceries,Pantry,Prime Logistics,6.26,8.10,5,0.23,0.24,14.00,9.20,18.30,WH-09,1428,37,2024-02-13,Out of Stock,4.90,0.01,2024-02-06,2024-03-16,Blue,,0,False,1,10
PROD-00027,HOM-FUR-KIT-993,KitchenAid Signature Furniture,,Home & Kitchen,Furniture,Prime Logistics,152.46,252.62,0,0.40,14.25,82.20,85.00,51.90,WH-07,1425,99,2024-05-17,Active,4.83,0.07,2024-04-30,2024-07-05,Red,Fabric,12,True,1,20
PROD-00028,HOM-COO-IKE-367,Ikea Pro Cookware,,Home & Kitchen,Cookware,Elite Wholesale,68.44,110.69,15,0.38,1.48,32.30,35.60,9.00,WH-10,349,43,2024-05-23,Active,3.70,0.10,2024-05-05,2024-09-03,Beige,Glass,12,True,1,10
PROD-00029,ELE-PHO-LG-784,LG Smart Phone,LG,Electronics,Phones,Global Trade Corp,762.40,1054.66,0,0.28,0.15,15.60,7.10,0.90,WH-03,1393,86,2024-12-25,Active,4.43,0.06,2024-12-14,2025-02-27,,Plastic,12,True,1,20
PROD-00030,GRO-ORG-HEI-179,Heinz Essential Organic,,Groceries,Organic,Elite Wholesale,10.82,12.89,10,0.16,0.57,8.40,15.90,12.50,WH-10,1330,61,2025-07-28,Active,4.19,0.01,2025-07-15,2025-12-16,Silver,Plastic Bottle,0,True,1,20
PROD-00031,HOM-BED-CUI-310,Cuisinart Classic Bedding,Cuisinart,Home & Kitchen,Bedding,Global Trade Corp,40.40,75.47,0,0.46,1.57,33.30,34.10,6.70,WH-02,1444,72,2025-11-01,Active,3.77,0.06,2025-10-23,2025-11-07,Beige,Wood,0,True,1,5
PROD-00032,APP-JAC-H&M-341,H&M Premium Jacket,,Apparel,Jackets,Elite Wholesale,51.98,110.86,0,0.53,1.22,36.10,30.30,5.70,WH-07,383,20,2024-07-25,Active,3.69,0.18,2024-07-19,2024-10-27,Grey,Polyester,0,True,1,20
PROD-00033,BEA-FRA-LOR-253,LOreal Ultra Fragrance,LOreal,Beauty,Fragrance,Apex Distributors,33.29,84.78,10,0.61,0.33,7.40,7.50,16.00,WH-04,623,88,2024-07-26,Active,4.64,0.04,2024-07-12,2024-11-23,Green,Natural Oil,0,True,1,100
PROD-00034,APP-JAC-ADI-438,Adidas Deluxe Jacket,,Apparel,Jackets,Global Trade Corp,57.27,139.67,10,0.59,1.31,40.20,32.20,3.90,WH-06,51,97,2025-07-06,Active,4.93,0.17,2025-06-20,2025-09-19,,Polyester,,True,1,100
PROD-00035,ELE-HEA-SAM-618,Samsung Signature Headphone,Samsung,Electronics,Headphones,Apex Distributors,77.17,105.38,0,0.27,0.25,20.80,14.80,7.10,WH-01,118,33,2025-11-29,Active,4.41,0.06,2025-11-15,2026-02-23,Blue,Plastic,24,True,1,5
PROD-00036,ELE-TV-LG-523,LG Eco TV,LG,Electronics,TV,Elite Wholesale,756.77,946.70,5,0.20,12.64,126.40,59.60,7.60,WH-01,201,95,2024-04-02,Active,4.65,0.03,2024-03-23,2024-05-31,,Plastic,12,True,1,10
PROD-00037,BEA-SKI-EST-553,Estee Lauder Smart Skincare,Estee Lauder,Beauty,Skincare,Apex Distributors,20.87,48.70,10,0.57,0.18,7.00,4.80,14.00,WH-03,545,44,2024-06-04,Active,3.86,0.04,2024-05-21,2024-07-17,Navy,Natural Oil,,True,1,10
PROD-00038,BEA-HAI-NEU-672,Neutrogena Essential Haircare,Neutrogena,Beauty,Haircare,Global Trade Corp,9.29,23.37,,0.60,0.56,7.00,6.30,18.20,WH-03,1069,59,2024-02-08,Out of Stock,4.01,0.04,2024-01-31,2024-04-09,Beige,,,False,1,10
PROD-00039,APP-SHI-UND-109,Under Armour Ultra Shirt,Under Armour,Apparel,Shirts,Apex Distributors,20.15,37.85,,0.47,0.30,33.80,20.90,1.20,WH-02,264,91,2025-01-18,Active,4.91,0.19,2025-01-01,2025-02-03,,Cotton,3,True,1,20
PROD-00040,APP-SHO-UND-886,Under Armour Deluxe Shoe,Under Armour,Apparel,Shoes,Global Trade Corp,46.92,90.21,5,0.48,0.99,32.30,19.30,10.70,WH-10,1500,45,2024-10-06,Active,4.05,0.18,2024-09-19,2025-02-06,Pink,Cotton,3,True,1,100
PROD-00041,BEA-HAI-MAY-637,Maybelline Classic Haircare,Maybelline,Beauty,Haircare,Elite Wholesale,4.42,12.22,20,0.64,0.67,6.90,5.60,15.20,WH-08,1073,50,2024-10-21,Discontinued,2.39,0.02,2024-10-13,2025-02-25,Grey,Organic Compounds,0,False,1,5
PROD-00042,HOM-COO-DYS-320,Dyson Smart Cookware,Dyson,Home & Kitchen,Cookware,Prime Logistics,20.63,39.36,,0.48,1.91,32.50,28.10,23.40,WH-03,1232,45,2025-08-06,Active,4.35,0.06,2025-08-01,2025-11-29,Red,Ceramic,0,True,1,100
PROD-00043,GRO-PAN-GEN-272,General Mills Smart Pantry,General Mills,Groceries,Pantry,Summit Suppliers,3.73,4.57,5,0.18,1.44,12.90,9.00,21.70,WH-07,71,79,2024-12-07,Active,4.49,0.01,2024-11-28,2025-01-13,Beige,Glass Jar,0,True,1,10
PROD-00044,APP-SHO-UND-199,Under Armour Essential Shoe,Under Armour,Apparel,Shoes,Prime Logistics,53.85,98.36,0,0.45,0.70,34.90,19.20,11.10,WH-05,307,95,2024-01-06,Active,3.86,0.17,2023-12-28,2024-05-06,White,Denim,0,True,1,10
PROD-00045,GRO-SNA-COC-622,Coca-Cola Premium Snack,Coca-Cola,Groceries,Snacks,Prime Logistics,3.87,4.75,25,0.19,0.46,14.40,6.60,20.40,WH-01,127,57,2024-04-02,Out of Stock,4.84,0.01,2024-03-18,2024-08-30,Blue,Glass Jar,0,False,1,100
PROD-00046,ELE-TV-BOS-746,Bose Essential TV,Bose,Electronics,TV,Prime Logistics,414.53,558.84,0,0.26,13.48,114.70,63.50,11.40,WH-02,184,35,2025-04-26,Active,3.55,0.05,2025-04-11,2025-06-25,Grey,,36,True,1,10
PROD-00047,GRO-ORG-HEI-482,Heinz Classic Organic,Heinz,Groceries,Organic,Apex Distributors,7.09,8.47,0,0.16,0.66,15.80,14.50,10.30,WH-10,327,67,2024-01-18,Active,4.45,0.01,2024-01-11,2024-05-31,Navy,Paper Pack,0,True,1,5
PROD-00048,BEA-MAK-CLI-976,Clinique Eco Makeup,Clinique,Beauty,Makeup,Prime Logistics,6.50,15.21,,0.57,0.07,4.90,2.30,7.30,WH-08,1186,71,2025-09-26,Active,4.37,0.04,2025-09-13,2025-10-17,Grey,Natural Oil,0,True,1,10
PROD-00049,APP-JAC-ZAR-432,Zara Eco Jacket,Zara,Apparel,Jackets,Summit Suppliers,75.66,153.60,10,0.51,0.90,43.10,35.20,4.10,WH-05,59,37,2025-01-06,Active,4.61,0.12,2024-12-30,2025-02-09,White,,,True,1,100
PROD-00050,APP-SHI-GAP-745,Gap Essential Shirt,Gap,Apparel,Shirts,Prime Logistics,24.82,58.67,15,0.58,0.19,30.90,27.80,2.00,WH-08,368,55,2025-04-02,Active,4.69,0.16,2025-03-26,2025-04-08,,Cotton,0,True,1,20
PROD-00051,ELE-TV-APP-512,Apple Classic TV,Apple,Electronics,TV,Apex Distributors,998.19,1227.22,20,0.19,10.29,120.40,57.70,9.70,WH-09,41,51,2025-09-24,Active,4.34,0.05,2025-09-19,2026-02-06,Grey,Plastic,24,True,1,100
PROD-00052,APP-JAC-GAP-594,Gap Ultra Jacket,Gap,Apparel,Jackets,Summit Suppliers,86.68,192.69,5,0.55,1.09,42.90,31.70,3.00,WH-07,1448,52,2025-03-16,Active,3.71,0.13,2025-02-26,2025-05-12,Black,Cotton,3,True,1,5
PROD-00053,BEA-SKI-CLI-859,Clinique Pro Skincare,Clinique,Beauty,Skincare,Prime Logistics,10.53,29.80,0,0.65,0.10,4.80,4.80,13.80,WH-01,872,72,2025-10-17,Active,4.68,0.03,2025-10-03,2025-11-25,,,0,True,1,20
PROD-00054,BEA-HAI-CLI-985,Clinique Signature Haircare,Clinique,Beauty,Haircare,Global Trade Corp,11.74,23.53,0,0.50,0.71,9.00,8.10,18.20,WH-09,721,58,2024-03-10,Discontinued,2.30,0.05,2024-02-19,2024-04-25,Pink,,,False,1,5
PROD-00055,APP-PAN-H&M-667,H&M Eco Pant,H&M,Apparel,Pants,Summit Suppliers,15.31,33.03,0,0.54,0.59,39.60,27.30,4.00,WH-01,108,50,2024-05-02,Active,4.91,0.20,2024-04-18,2024-06-17,Silver,Wool,0,True,1,5
PROD-00056,ELE-HEA-LOG-699,Logitech Premium Headphone,Logitech,Electronics,Headphones,Prime Logistics,76.07,98.52,0,0.23,0.11,21.30,14.60,8.50,WH-04,403,64,2024-12-06,Active,4.69,0.06,2024-11-28,2025-04-16,Green,Plastic,36,True,1,100
PROD-00057,GRO-BEV-COC-213,Coca-Cola Smart Beverage,Coca-Cola,Groceries,Beverages,Summit Suppliers,7.79,10.03,0,0.22,0.41,10.40,7.20,20.30,WH-10,1448,57,2025-01-07,Active,4.04,0.01,2024-12-27,2025-04-26,Beige,Glass Jar,0,True,1,5
PROD-00058,BEA-SKI-CLI-560,Clinique Signature Skincare,Clinique,Beauty,Skincare,Global Trade Corp,25.26,73.75,0,0.66,0.12,6.60,5.60,17.30,WH-08,841,94,2025-06-20,Active,4.52,0.03,2025-06-11,2025-11-04,Pink,Organic Compounds,0,True,1,10
PROD-00059,GRO-PAN-KEL-934,Kelloggs Deluxe Pantry,Kelloggs,Groceries,Pantry,Elite Wholesale,9.47,11.73,0,0.19,0.73,14.20,13.70,18.20,WH-07,581,95,2024-05-03,Active,3.79,0.02,2024-04-16,2024-07-01,Pink,Glass Jar,0,True,1,5
PROD-00060,BEA-MAK-OLA-330,Olay Deluxe Makeup,Olay,Beauty,Makeup,Prime Logistics,14.39,41.13,0,0.65,0.04,4.20,3.30,8.20,WH-09,405,83,2024-06-29,Active,3.70,0.04,2024-06-14,2024-09-29,Silver,Organic Compounds,0,True,1,10
PROD-00061,BEA-HAI-SEP-655,Sephora Premium Haircare,Sephora,Beauty,Haircare,Elite Wholesale,13.64,28.56,0,0.52,0.33,5.80,5.10,20.90,WH-06,244,96,2024-10-16,Active,3.76,0.05,2024-10-03,2025-01-08,Silver,Organic Compounds,0,True,1,10
PROD-00062,GRO-BEV-NES-341,Nestle Ultra Beverage,,Groceries,Beverages,Summit Suppliers,4.06,5.24,0,0.23,1.71,6.90,8.70,22.10,WH-08,726,63,2024-12-11,Active,3.82,0.01,2024-12-06,2025-01-23,Black,,0,True,1,10
PROD-00063,HOM-COO-CAL-354,Calphalon Ultra Cookware,Calphalon,Home & Kitchen,Cookware,Prime Logistics,24.09,40.76,0,0.41,1.14,20.60,27.70,19.90,WH-10,638,50,2025-05-30,Active,4.38,0.09,2025-05-24,2025-09-23,,Ceramic,12,True,1,100
PROD-00064,GRO-BEV-HEI-523,Heinz Essential Beverage,Heinz,Groceries,Beverages,Apex Distributors,1.43,1.76,5,0.19,1.45,10.90,9.70,25.00,WH-08,264,27,2024-02-14,Active,4.31,0.02,2024-01-26,2024-05-04,Black,Paper Pack,0,True,1,5
PROD-00065,ELE-HEA-DEL-717,Dell Smart Headphone,Dell,Electronics,Headphones,Prime Logistics,36.09,47.31,0,0.24,0.33,18.60,15.00,6.90,WH-04,1237,38,2025-11-23,Active,3.68,0.04,2025-11-07,2026-03-26,Black,Metal,24,True,1,5
PROD-00066,APP-PAN-H&M-644,H&M Ultra Pant,H&M,Apparel,Pants,Elite Wholesale,39.26,80.45,0,0.51,0.31,33.20,33.00,2.40,WH-01,1251,57,2024-02-01,Active,4.72,0.22,2024-01-17,2024-03-25,Beige,Leather,0,True,1,10
PROD-00067,GRO-SNA-COC-374,Coca-Cola Premium Snack,Coca-Cola,Groceries,Snacks,Global Trade Corp,4.91,6.33,0,0.22,0.43,19.20,5.60,22.40,WH-04,683,81,2024-04-24,Active,4.04,0.01,2024-04-16,2024-06-26,White,Tin Can,0,True,1,100
PROD-00068,ELE-HEA-LOG-472,Logitech Essential Headphone,Logitech,Electronics,Headphones,Prime Logistics,85.30,120.75,0,0.29,0.30,21.90,17.40,8.60,WH-09,481,96,2025-05-29,Active,3.76,0.04,2025-05-20,2025-09-12,Red,Plastic,12,True,1,10
PROD-00069,APP-PAN-GAP-172,Gap Essential Pant,Gap,Apparel,Pants,Elite Wholesale,42.30,93.67,0,0.55,0.59,35.90,30.00,2.60,WH-03,1251,99,2024-03-24,Active,4.42,0.18,2024-03-06,2024-06-20,Silver,Denim,3,True,1,20
PROD-00070,APP-SHO-H&M-987,H&M Essential Shoe,H&M,Apparel,Shoes,Elite Wholesale,61.43,149.32,,0.59,1.18,32.60,23.00,10.60,WH-10,711,86,2024-10-18,Active,4.31,0.20,2024-10-06,2025-01-20,Silver,Polyester,0,True,1,100
PROD-00071,BEA-SKI-NEU-976,Neutrogena Eco Skincare,Neutrogena,Beauty,Skincare,Elite Wholesale,7.24,19.21,20,0.62,0.13,4.10,8.00,9.40,WH-01,1428,49,2024-07-02,Active,3.82,0.02,2024-06-21,2024-09-14,Silver,,0,True,1,100
PROD-00072,ELE-HEA-SAM-504,Samsung Premium Headphone,Samsung,Electronics,Headphones,Global Trade Corp,54.25,73.89,10,0.27,0.27,19.60,17.50,8.60,WH-07,1473,34,2025-03-27,Active,3.51,0.06,2025-03-16,2025-07-08,Green,Metal,24,True,1,10
PROD-00073,GRO-ORG-COC-113,Coca-Cola Ultra Organic,Coca-Cola,Groceries,Organic,Global Trade Corp,15.82,19.14,,0.17,0.64,14.60,13.90,18.60,WH-06,1319,47,2024-07-05,Active,4.91,0.01,2024-06-15,2024-11-10,Silver,Paper Pack,0,True,1,20
PROD-00074,BEA-MAK-OLA-337,Olay Pro Makeup,Olay,Beauty,Makeup,Prime Logistics,4.79,11.57,0,0.59,0.05,3.30,3.60,5.60,WH-10,366,47,2024-06-14,Active,3.58,0.02,2024-06-07,2024-07-18,Grey,Organic Compounds,0,True,1,100
PROD-00075,APP-SHI-NIK-387,Nike Premium Shirt,Nike,Apparel,Shirts,Apex Distributors,8.86,16.22,0,0.45,0.16,26.80,26.00,1.50,WH-06,1181,78,2025-03-17,Active,3.53,0.17,2025-02-25,2025-04-27,Black,Cotton,0,True,1,20
PROD-00076,HOM-APP-WAY-909,Wayfair Smart Appliance,Wayfair,Home & Kitchen,Appliances,Prime Logistics,316.26,576.34,0,0.45,9.73,35.60,45.80,78.30,WH-09,862,62,2025-02-21,Active,3.52,0.10,2025-02-07,2025-04-30,Red,,24,True,1,20
PROD-00077,APP-SHO-ADI-481,Adidas Classic Shoe,Adidas,Apparel,Shoes,Prime Logistics,93.82,179.28,0,0.48,0.73,30.50,19.20,11.50,WH-03,1002,70,2025-12-02,Active,4.72,0.20,2025-11-14,2026-02-03,Silver,Polyester,3,True,1,20
PROD-00078,APP-JAC-ADI-362,Adidas Premium Jacket,,Apparel,Jackets,Global Trade Corp,88.52,168.59,0,0.47,1.53,36.30,32.60,4.70,WH-06,257,62,2024-05-20,Active,4.99,0.12,2024-05-12,2024-06-27,,Denim,0,True,1,100
PROD-00079,APP-SHO-PUM-825,Puma Ultra Shoe,,Apparel,Shoes,Elite Wholesale,36.26,81.71,5,0.56,0.60,34.30,18.40,11.10,WH-01,13,41,2025-08-24,Active,3.72,0.19,2025-08-11,2025-11-07,Navy,Cotton,3,True,1,20
PROD-00080,ELE-LAP-APP-662,Apple Pro Laptop,Apple,Electronics,Laptops,Global Trade Corp,659.74,850.81,0,0.22,2.44,35.30,24.70,1.80,WH-02,1278,39,2025-09-28,Active,4.46,0.05,2025-09-10,2025-12-20,Pink,Metal,12,True,1,10
PROD-00081,GRO-PAN-PEP-859,PepsiCo Eco Pantry,PepsiCo,Groceries,Pantry,Summit Suppliers,2.96,3.67,0,0.19,0.44,14.10,11.20,20.50,WH-10,1139,95,2025-01-26,Active,4.19,0.02,2025-01-16,2025-04-17,,Glass Jar,0,True,1,5
PROD-00082,APP-JAC-NIK-113,Nike Pro Jacket,Nike,Apparel,Jackets,Global Trade Corp,75.80,165.43,,0.54,1.38,40.90,28.90,5.60,WH-05,1202,46,2024-08-09,Active,3.51,0.14,2024-08-01,2024-10-02,Beige,Polyester,,True,1,100
PROD-00083,HOM-APP-CUI-355,Cuisinart Smart Appliance,Cuisinart,Home & Kitchen,Appliances,Apex Distributors,284.30,483.92,0,0.41,4.48,36.60,49.30,77.80,WH-06,123,23,2025-11-10,Active,3.79,0.08,2025-10-25,2026-03-02,Beige,Ceramic,0,True,1,100
PROD-00084,HOM-FUR-CUI-976,Cuisinart Smart Furniture,Cuisinart,Home & Kitchen,Furniture,Global Trade Corp,131.47,237.23,30,0.45,25.99,83.80,46.30,90.00,WH-01,86,94,2025-10-15,Active,4.77,0.07,2025-09-25,2025-10-27,Black,Wood,12,True,1,5
PROD-00085,GRO-ORG-KRA-215,Kraft Deluxe Organic,Kraft,Groceries,Organic,Global Trade Corp,8.47,10.30,0,0.18,0.81,10.40,11.10,11.50,WH-06,1170,54,2024-10-15,Active,4.44,0.01,2024-09-27,2024-12-04,Blue,Glass Jar,0,True,1,20
PROD-00086,GRO-PAN-COC-121,Coca-Cola Classic Pantry,Coca-Cola,Groceries,Pantry,Summit Suppliers,11.97,15.47,15,0.23,0.92,12.80,10.00,16.00,WH-05,577,33,2024-03-16,Active,4.60,0.02,2024-03-10,2024-04-28,Red,,0,True,1,10
PROD-00087,APP-SHO-GAP-899,Gap Ultra Shoe,Gap,Apparel,Shoes,Apex Distributors,53.54,126.69,,0.58,0.72,30.90,21.60,13.90,WH-02,13,96,2025-05-31,Active,4.36,0.13,2025-05-25,2025-06-01,,,3,True,1,10
PROD-00088,APP-PAN-H&M-639,H&M Deluxe Pant,H&M,Apparel,Pants,Apex Distributors,27.00,52.83,15,0.49,0.48,32.40,25.20,2.90,WH-04,913,54,2024-10-02,Active,3.50,0.13,2024-09-14,2025-02-14,Beige,Wool,3,True,1,10
PROD-00089,BEA-FRA-CLI-603,Clinique Pro Fragrance,Clinique,Beauty,Fragrance,Prime Logistics,92.28,195.00,0,0.53,0.22,11.40,8.20,14.20,WH-05,38,26,2024-05-31,Out of Stock,3.60,0.05,2024-05-17,2024-07-08,Beige,Organic Compounds,0,False,1,20
PROD-00090,BEA-SKI-SEP-968,Sephora Deluxe Skincare,Sephora,Beauty,Skincare,Apex Distributors,4.47,10.80,0,0.59,0.07,5.20,6.60,17.10,WH-01,1152,28,2025-04-11,Active,4.42,0.04,2025-03-23,2025-05-06,Silver,Natural Oil,0,True,1,100
PROD-00091,APP-PAN-LEV-158,Levis Eco Pant,Levis,Apparel,Pants,Apex Distributors,41.76,76.13,,0.45,0.31,36.60,34.30,2.30,WH-01,264,50,2024-09-07,Active,4.09,0.22,2024-08-21,2024-11-14,Grey,Polyester,0,True,1,5
PROD-00092,GRO-ORG-QUA-623,Quaker Deluxe Organic,Quaker,Groceries,Organic,Summit Suppliers,3.70,4.62,0,0.20,0.72,17.50,14.60,10.10,WH-09,1240,29,2024-06-06,Active,4.99,0.01,2024-05-21,2024-10-14,Black,Plastic Bottle,0,True,1,20
PROD-00093,ELE-TV-SAM-622,Samsung Ultra TV,Samsung,Electronics,TV,Elite Wholesale,392.96,538.28,0,0.27,14.52,120.10,70.10,7.50,WH-05,1439,96,2024-11-04,Active,3.91,0.03,2024-10-21,2025-01-08,,,24,True,1,100
PROD-00094,GRO-ORG-QUA-309,Quaker Pro Organic,Quaker,Groceries,Organic,Prime Logistics,4.74,5.66,,0.16,0.34,11.60,13.30,10.60,WH-02,1247,40,2024-01-22,Active,4.60,0.01,2024-01-13,2024-02-07,Pink,,0,True,1,10
PROD-00095,APP-JAC-NIK-614,Nike Pro Jacket,Nike,Apparel,Jackets,Elite Wholesale,46.73,116.47,5,0.60,1.00,43.20,30.60,5.00,WH-05,26,28,2024-10-13,Active,3.75,0.18,2024-09-30,2024-12-25,Pink,Cotton,0,True,1,5
